Quartier;Population (en 2010)
Allerton-Pelham Gardens;28 903
Bedford Park-Fordham-North;54 415
Belmont;27 378
Bronxdale;35 538
Claremont-Bathgate;31 078
Co-Op City;43 752
Crotona Park East;20 277
East Concourse-Concourse Village;62 284
East Tremont;43 423
Eastchester-Edenwald-Baychester;34 517
Fordham South;28 262
Kingsbridge;37 727
Hunts Point;27 204
Kingsbridge Heights;32 496
Longwood;26 196
Melrose South-Mott Haven North;39 214
Morrisania-Melrose;87 865
Mott Haven-Port Morris;52 413
Mount Hope;51 807
North Riverdale-Fieldston-Riverdale;27 860
Norwood;40 494
Parkchester;29 821
Pelham Bay-Country Club-City Island;26 583
Rikers Island;11 091
Schuylerville-Throgs Neck-Edgewater Park;44 167
Soundview-Bruckner;35 634
Soundview-Castle Hill-Clason Point-Harding Park;53 686
Spuyten Duyvil-Kingsbridge;30 161
University Heights-Morris Heights;54 188
Van Cortlandt Village;50 100
Van Nest-Morris Park-Westchester Square;29 250
West Concourse;39 282
West Farms-Bronx River;35 011
Westchester-Unionport;27 248
Williamsbridge-Olinville;61 321
Woodlawn-Wakefield;42 483
